,geo,Tweets,User,Location,entities,sentiment,Country
249,, Delhi: Traffic congestion at Delhi-Gurugram border after Haryana government yesterday sealed borders with the national capital due…,varung123,"Dwarka, New Delhi","[('Delhi', 'GPE'), ('Delhi-Gurugram', 'ORG'), ('Haryana', 'GPE'), ('yesterday', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",India
250,,#Occupy2.0 has commenced. It will not end until the #NeofascistDNCGOP are eliminated #coronavirus #COVID__19  #MFA… ,davidsirias1,"Portland, OR ","[('Occupy2.0', 'PERSON'), '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
251,,"LOCKDOWN: VIDEO on how to wash hands proper ly, watch here:  #coronavirussa #coronavirus… ",tolatender,South Africa,[''],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5574}",South Africa
252,," The idea of “slow streets,” where lanes of traffic are taken out for pedestrians or restaurant patios, is coming to Vancouver,…",CraigRMcCulloch,Vancouver (Burnaby),"[('Vancouver', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada
253,," Inline with our country's efforts in fighting #Coronavirus, &amp; in addition to Kingdom Hospital's efforts, We put the…",pingpongpongpon,"Lahore, Pakistan","[('Inline', 'GPE'), ('Coronavirus', 'PERSON'), (""Kingdom Hospital's"", 'ORG')]","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.3612}",Pakistan
254,," The Centers for Disease Control (CDC), has recommended that the public and employees at the workplace wear masks at all…",Kandiwapa11,22°33'33.9' S   17°4'59.6'' E,"[('The Centers for Disease Control', 'ORG'), ('CDC', 'ORG')]","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2023}",Error
255,, Private Sale is running --&gt; #blockchain #privatesale #token #funds #covir #coronavirus #decentralize…,septianairmal29,"Jawa Tengah, Indonesia","['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Indonesia
256,, Thanks for the update. But will Twitter be fact checking Communist China’s lies about the #coronavirus? What about Chin…,GaryjJeffrey,"California, USA","[('Communist', 'NORP'), ('China', 'GPE'), ('Chin', 'PERSON')]","{'neg': 0.123, 'neu': 0.749, 'pos': 0.128, 'compound': 0.0258}",USA
257,, #MenstruationMatters for you#MenstruationMatters for me#MenstruationMatters for her#MenstruationMatters for him#Menstruation…,shoaib00001,"Islamabad, Pakistan","[('MenstruationMatters', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Pakistan
258,,"In a constantly changing industry and in these tumultuous times, it’s important to keep up to date with what is hap… ",PeopleMedical,"Hamilton, Brisbane",[],"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2023}",Australia
259,, A radical11-point plan to save lives proposing “a further lockdown of care homes” was submitted to Downing St on 28 Apr…,JulieBJewellery,Buckinghamshire,"[('Downing St', 'ORG'), ('28', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}",UK
260,," Journalists asking Vallance and Whitty for their view on Cummings matter. PM intervenes and stops them from answering, sa…",Coopersphere,Southampton,"[('Vallance', 'ORG'), ('Cummings', 'ORG')]","{'neg': 0.081, 'neu': 0.863, 'pos': 0.056, 'compound': -0.128}",USA
261,,Wor king from home is a solution for Small Businesses amid COVID-19 Social Distancing. Read more:… ,tolatender,South Africa,"[('Small Businesses amid COVID-19', 'WORK_OF_ART')]","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.3182}",South Africa
262,, Delhi: Traffic congestion at Delhi-Gurugram border after Haryana government on Thursday sealed borders with the national capi…,TOIGurgaon,,"[('Delhi', 'GPE'), ('Delhi-Gurugram', 'ORG'), ('Haryana', 'GPE'), ('Thursday', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
263,, #Coronavirus has not stopped Modi-Shah's police to target Muslim students for participating in anti-citizenship act protest!!…,adilkhan202025,Praying for AAP,"[('Coronavirus', 'PERSON'), (""Modi-Shah's"", 'ORG'), ('Muslim', 'NORP')]","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.3071}",Error
264,, A #Taiwan #Tourism promotional item designed by popular local #Manga illustrator Zuo Hsuan is expected to help attract vi…,Taiwanderful,Taiwan,"[('Tourism', 'PERSON'), ('Manga', 'PERSON'), ('Zuo Hsuan', 'PERSON')]","{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.7906}",Taiwan
